statement,label,domain,source,correction
"Operating a health care exchange would be ""illegal"" in Georgia and some states because of legislation passed in those states.",1.0,politics,politifact,
"The government is arming up the IRS because ""Joe Biden is raising taxes and disarming Americans.",1.0,politics,politifact,
"The Mormon religion has ""a plan that will see the Constitution thrown out and replaced by a theocracy.",0.0,politics,politifact,
Democrats are nowhere to be found on DACA.,1.0,politics,politifact,
Says President Donald Trump has donated $1 million to a relief fund for the Bahamas in the wake of Hurricane Dorian while no other politicians have contributed any money.,1.0,politics,politifact,
"The FBI building in Washington is ""completely closed. No one's in there.",1.0,politics,politifact,
"Says the coronavirus can be slowed or stopped with the ""immediate widespread use of high doses of vitamin C.",1.0,politics,politifact,
"Says the Chinese Communist Party ""will finally admit that the real source of the coronavirus is from 'a lab in Wuhan' linked to its covert biological weapon programs.",1.0,politics,politifact,
"Says of Gov. Tony Evers and 2020 violence in Kenosha after the police shooting of Jacob Blake: ""It took the loss of lives before help finally came.",1.0,politics,politifact,
A video shows Rep. Matt Gaetz threatening Robert Mueller with jail time.,1.0,politics,politifact,
"Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.",1.0,politics,politifact,
"Says a photo shows Donald Trump holding a sign that says, ""No matter who is president, Jesus is still king.",1.0,politics,politifact,
"Says Rep. Jon Runyan ""voted to redefine rape.",1.0,politics,politifact,
"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump.",1.0,politics,politifact,
"Elon Musk said, ""In some parts of the world, journalists get murdered for crossing the wrong people.",1.0,politics,politifact,
"Phoenix, Ariz., is the No. 2 kidnapping capital of the world.",0.0,politics,politifact,
"Charcoal activated tablets ""will counteract most date rape drugs.",1.0,politics,politifact,
"Says 97 cents of every dollar played ""represents over $500 million dollars that is returned to Oregonians every year to help support job creation, schools, state parks and watersheds.",0.0,politics,politifact,
"When my grandfather came to this country back in 1925, there were no government benefits.",1.0,politics,politifact,
"Being exposed to the sun for two hours"" kills the 2019 coronavirus.",1.0,politics,politifact,
"The Human Rights Campaign is ""more powerful than the NRA.",1.0,politics,politifact,
The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years.,1.0,politics,politifact,
"All"" Americans in Afghanistan who ""have wanted to come out have come out.",1.0,politics,politifact,
"The IRS is already planning on 19,500 new employees to administer"" Obama's health care mandate.",0.0,politics,politifact,
"Says Nancy Pelosi said, ""It is dangerous to let the voters decide Trump's fate.",1.0,politics,politifact,
"President Obama ""doesn't ... want to admit we're at war.",0.0,politics,politifact,
"Under David Dewhurst's leadership, the Texas ""Senate passed an expansion of in-state tuition and free health care to illegal immigrants.",1.0,politics,politifact,
"When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.",1.0,politics,politifact,
"Says Mitt Romney voted against convicting President Donald Trump because Burisma board member Joseph Cofer Black ""is Romney's national security advisor"" and because of ties to Obama CIA director John Brennan.",1.0,politics,politifact,
Photo shows Nicole Kidman reacting to Will Smith slapping Chris Rock.,1.0,politics,politifact,
"Says Ohio Gov. John Kasich is ""very unpopular.",1.0,politics,politifact,
"Any votes counted after midnight"" on Election Day in Michigan ""are fraud.",1.0,politics,politifact,
Says Bill White is for gay marriage.,1.0,politics,politifact,
"In the U.S. Constitution, ""there's a little section in there that talks about life, liberty and the pursuit of happiness.",1.0,politics,politifact,
"Obamacare ""is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.",0.0,politics,politifact,
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,1.0,politics,politifact,
"U.S. Rep. Marjorie Taylor Greene said, ""How can the Titanic submersible run out of air if you breathe both in and out? I feel like this is more fake news BS.",0.0,politics,politifact,
"Obamacare ""prevents (Florida) from regulating insurance.",0.0,politics,politifact,
"Says ""every time"" the DSCC endorsed someone in North Carolina's U.S. Senate primary, ""and the person they didn't support was black, the candidate they picked ended up losing.",1.0,politics,politifact,
"Every time we've cut taxes, revenues have gone up, the economy has grown.",1.0,politics,politifact,
A year ago we had the lowest unemployment in history without using taxpayers money.,1.0,politics,politifact,
"Once a woman enters into the sex trade, her average life expectancy is seven years.",1.0,politics,politifact,
"An aide ""acted on his own"" and ""was not representing the Thompson campaign"" when he sent an email criticizing the sexual orientation of U.S. Senate candidate Tammy Baldwin.",0.0,politics,politifact,
This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.,0.0,politics,politifact,
Only the fully vaccinated should fear the new 'worst ever' Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths,1.0,politics,politifact,
"Says 642,000 crimes were committed against Texans by criminal immigrants in a recent seven-year period.",1.0,politics,politifact,
The survival rate for COVID-19 is over 99% for most age groups.,1.0,politics,politifact,
"Sanders' ""Medicare for All"" plan ""would cost more than the entire federal budget that we spend now.",1.0,politics,politifact,
"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.",1.0,politics,politifact,
"Under Hillary Clinton, State Department ""officials were sending official thank-yous to people who gave to the Clinton Foundation.",1.0,politics,politifact,
"Wisconsin is broke,"" and ""state government is $3 billion in debt.",0.0,politics,politifact,
Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.,1.0,politics,politifact,
A heat wave melted turbine blades at a Texas wind farm.,1.0,politics,politifact,
Says a video showing water inside a glass on a spaceflight proves space isn't real,1.0,politics,politifact,
"The problem with mail ballots in Lancaster County is a sign of ""voter fraud.",1.0,politics,politifact,
Man dug tunnel from home to the pub and drank every night while his wife slept.,0.0,politics,politifact,
Pope Francis says covid vaccine will now be required to enter heaven.,0.0,politics,politifact,
"Quotes Andy Borowitz as saying ""stopping Hillary is a short-term solution. The long-term solution — and it will be more difficult — is fixing the educational system that has created so many people ignorant enough to vote for Hillary.",1.0,politics,politifact,
"Obama said that ""since 1992, the Republicans have had all the good ideas...",1.0,politics,politifact,
Roe v. Wade happened because a woman lied about being raped by black men.,1.0,politics,politifact,
Democrats do not have a plan for extending the Bush tax cuts.,1.0,politics,politifact,
Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,0.0,politics,politifact,
"Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.",0.0,politics,politifact,
"Says Islamic studies professor Tariq Ramadan said Muslims are here ""to colonize the U.S. and Canada and spread Sharia law"" and won't ""hesitate to use violent Jihad"" if they have to.",1.0,politics,politifact,
"Says Jen Psaki said, ""President Biden might need kneepads for riding his bike, but the last guy needed kneepads for visiting the Kremlin.",0.0,politics,politifact,
Maricopa County official purged machine records before audit started.,1.0,politics,politifact,
"Morgan Freeman called out Joe Biden for talking about ""ice cream"" before commenting on the Nashville, Tennessee, school shooting.",0.0,politics,politifact,
How many of you are aware that the female governor of Michigan is the niece of George Soros?,0.0,politics,politifact,
"John Kerry at COP27 climate summit spoke about wanting to ""wipe out the middle class … get you under the central banking digital currency system.",1.0,politics,politifact,
Red Bull contains bull sperm.,1.0,politics,politifact,
Cori Bush is a career criminal and a con artist.,1.0,politics,politifact,
Queen Elizabeth II was a reptile.,0.0,politics,politifact,
"Oil is now $61.30 a barrel and rising drastically! On Jan. 5, it was about $25 a barrel.",1.0,politics,politifact,
Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,1.0,politics,politifact,
Says Nancy Pelosi tweeted that she was disgusted with Donald Trump over taxes,1.0,politics,politifact,
"The Kansas City Chiefs' Super Bowl win has been ""put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.",0.0,politics,politifact,
"In seven years that (nuclear) deal will have expired, and Iran is free to go ahead and create nuclear weapons.",1.0,politics,politifact,
Tim Kaine announced he wants to raise taxes on everyone.,1.0,politics,politifact,
I've never supported a payroll tax.,1.0,politics,politifact,
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,1.0,politics,politifact,
"Says Bill Gates said ""at least 3 billion people need to die"" from the planet.",1.0,politics,politifact,
"Says Red Cross President and CEO Marsha J. Evans makes ""$651,957 plus expenses"" a year and ""only 9 cents of every dollar"" donated to the organization goes to helping people in need.",1.0,politics,politifact,
"Photos showed ""bricks everywhere"" in Kenosha during the Kyle Rittenhouse trial.",1.0,politics,politifact,
"Says Donald Trump ""said illegal immigration has been a problem in America for 'thousands of years.' ",1.0,politics,politifact,
"The Democrat-backed health care reform plan ""will require (Americans) to subsidize abortion with their hard-earned tax dollars.",1.0,politics,politifact,
"When Sarah Palin was in government, Barack Obama was a community organizer.",1.0,politics,politifact,
"Protesters ""broke into the White House.",1.0,politics,politifact,
Birmingham is officially out of gas and fuel and can't get anymore.,1.0,politics,politifact,
"Says Nancy Pelosi's ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life",1.0,politics,politifact,
"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.",1.0,politics,politifact,
"Since 2000, the Department of Defense and the Department of Energy have been spraying the entire United States sky with the toxic brew of chemicals and other biologic agents.",0.0,politics,politifact,
Pete Buttigieg claims Bible says babies can be aborted 'up to their first breath.',1.0,politics,politifact,
"The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease Through GMO Shedding",1.0,politics,politifact,
"That's 5,615 projected coal-powered plants in just 8 countries. The USA has 15 - building 0 more.",1.0,politics,politifact,
"Says ""Obama paid FBI informant over $1 million to do it to Trump.",1.0,politics,politifact,
"Says Chris Wallace tweeted to Donald Trump, ""You're a fraud. A charlatan. A thug. A loser. A trust fund baby.",0.0,politics,politifact,
"After the U.S.-led military alliance ejected Saddam Hussein's forces from Kuwait in 1991, the Kuwaitis ""never paid us.",0.0,politics,politifact,
"A recent economic uptick appears to ""coincide"" with ""the expectation of a new Republican Congress.",1.0,politics,politifact,
Data from around the world suggests that omicron favors the fully vaccinated.,1.0,politics,politifact,
The Trump administration put secret watermarks on official ballots to trick cheating Democrats.,0.0,politics,politifact,
"Tom Hanks shouting ""sexy baby"" is connected to Jeffery Epstein and pedophilia.",0.0,politics,politifact,
"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals.",1.0,politics,politifact,
Video shows Hillary Clinton dressed as a space cult leader in a satanic ritual.,1.0,politics,politifact,
"Says liberals are trying to make pedophilia legal ""in preparation of Sharia Law in America.",0.0,politics,politifact,
North Carolina last year was second in the nation in overdose deaths,1.0,politics,politifact,
"President Barack Obama's budget threatens national security by proposing ""an Army of fewer personnel than we had before Pearl Harbor.",1.0,politics,politifact,
"The NAACP has received credible information that some of the white nationalist groups … will be looking to snatch black men and boys and hang them, shoot them, torture them and kill them.",1.0,politics,politifact,
Says a quote defending President Donald Trump can be attributed to Clint Eastwood.,1.0,politics,politifact,
"There is ""no system to vet"" refugees from the Middle East.",1.0,politics,politifact,
"Charles Darwin predicted a sub-species of humans ""will deny biology"" and ""attempt to undo the centuries of human development by rewriting history.",1.0,politics,politifact,
"Illegal immigration ""wasn't a subject that was on anybody's mind until I brought it up at my announcement.",1.0,politics,politifact,
"Uses a picture of a mansion to say that Rep. Nancy Pelosi lives surrounded by ""a high perimeter wall with gun toting security.",0.0,politics,politifact,
"Video shows ""Russian desert base and infrastructure hit by Bayraktar TB2 drone.",1.0,politics,politifact,
Vaccines are why flights have been shut down worldwide.,1.0,politics,politifact,
"The U.S. deficit ""increases at $3 million per second.",1.0,politics,politifact,
"Says President Obama and his allies in Congress gave ""power"" to control Medicare patients' health care decisions to ""a commission of 15 unelected bureaucrats in Washington.",1.0,politics,politifact,
"Says Bill Gates will provide ""money-500K, car, phone, visa"" or other gifts if you email him.",0.0,politics,politifact,
"Despite opposition from national Club for Growth, Club for Growth Wisconsin ""has endorsed"" him for U.S. Senate.",0.0,politics,politifact,
"National Geographic's photo of the year"" is a great white shark leaping out of the water.",0.0,politics,politifact,
"Says Baltimore police are ""trained by Mossad and Shin Bet.",0.0,politics,politifact,
"Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals",1.0,politics,politifact,
Bill Gates Outlines 2018 Plan To Depopulate The Planet.,0.0,politics,politifact,
"Epstein dies while in custody, his private banker is found dead, a judge had a trial regarding Epstein and the Deutsche Bank. Her son has been killed now and her husband has been shot. The shooter who shot the son and shot the judge's husband has now also been found dead.",1.0,politics,politifact,
It's just crazy that the government will ... make it illegal to use the old [incandescent] bulbs.,0.0,politics,politifact,
"It's not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.",1.0,politics,politifact,
Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA,1.0,politics,politifact,
"Says ""Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.",1.0,politics,politifact,
Amendment 1 protects Florida seniors from scams and rip-offs.,1.0,politics,politifact,
"Says U.S. Health and Human Services Secretary Tom Price said, ""It's better for our budget if cancer patients die more quickly.",0.0,politics,politifact,
"Says George Floyd has ""hair in one shot but is bald in the shots of him laying on the ground.",0.0,politics,politifact,
Photos show a photojournalist crying while capturing pictures of the Aqsa Mosque in Jerusalem.,1.0,politics,politifact,
"Says Hillary Clinton said, ""This planet might be able to support perhaps as many as half of a billion people who could live a sustainable life in relative comfort. Human populations must be greatly diminished, and as quickly as possible to limit further environmental damage.",0.0,politics,politifact,
"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",1.0,politics,politifact,
"Says that in the Philippines more than a century ago, Gen. John Pershing ""took 50 bullets, and he dipped them in pigs' blood,"" and shot 49 Muslim rebels. ""The 50th person, he said, 'You go back to your people, and you tell them what happened.' And for 25 years, there wasn't a problem.",0.0,politics,politifact,
"In 1921, early suffragettes often donned a bathing suit and ate pizza in large groups to annoy men…it was a custom at the time.",1.0,politics,politifact,
The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.,1.0,politics,politifact,
"The Biden White House has ""no one there. They don't travel. They don't go down to the border. They don't go overseas.",0.0,politics,politifact,
ESPN soccer analyst Shaka Hislop collapsed on air because of the COVID-19 vaccine.,1.0,politics,politifact,
"British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash.",0.0,politics,politifact,
"Under Florida's voting law, a requirement to turn in voter registrations within 48 hours ""makes it impossible to meet the deadline if you're working right to the end of the week.",1.0,politics,politifact,
Says shredded ballots were found in Dell boxes in Georgia,0.0,politics,politifact,
Video shows child shouting an expletive at Jill Biden.,0.0,politics,politifact,
"Says Joe Biden's Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.",0.0,politics,politifact,
Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.,1.0,politics,politifact,
"If the FAA is worried about what the 5G deployment will do to the planes, what do you think it will do to our bodies?",1.0,politics,politifact,
"NASA will pay you $100,000 to stay in bed for 60 days!",1.0,politics,politifact,
"U.S. is ""really not doing (COVID-19) reporting right"" because deaths are being improperly counted and hospitals have an ""incentive"" to pad stats.",1.0,politics,politifact,
"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.",1.0,politics,politifact,
"500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn't have been a trial.",1.0,politics,politifact,
"After the attack on a U.S. diplomatic mission in Benghazi, Libya, ""the ambassador's body was dragged through the street.",1.0,politics,politifact,
"Nationally, they predict prison populations on the basis of third-grade achievement.",1.0,politics,politifact,
"Obamacare provision will allow ""forced home inspections"" by government agents.",0.0,politics,politifact,
"Says Alexandria Ocasio-Cortez spent $30,000 to attend the Met Gala and ""God knows how much on that dress.",1.0,politics,politifact,
"Says President Donald Trump ""never downplayed the virus.",0.0,politics,politifact,
A video shows Disney is opening pediatric transgender clinics.,1.0,politics,politifact,
Breaking: John Fetterman RESIGNATION Announcement.,1.0,politics,politifact,
"Elon Musk tweeted ""looking into this"" in response to a claim that the ""KKK never did anything wrong to Black people.",1.0,politics,politifact,
"Facebook is spamming all climate articles by misleading readers about"" the accuracy of climate models.",1.0,politics,politifact,
Navy SEALs arrest Hillary Clinton.,0.0,politics,politifact,
Says people can follow a 1960 recipe for homemade baby formula as a workaround during the current shortage.,1.0,politics,politifact,
"I remember one of [Curt Schilling's] teammates said he painted his sock, the bloody sock.",1.0,politics,politifact,
Hillary (Clinton) caught on tape laughing about (Hurricane) Irma 'wiping out all of those Florida hillbillies'.,0.0,politics,politifact,
"I am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.",1.0,politics,politifact,
Says Quaden Bayles committed suicide.,0.0,politics,politifact,
Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,1.0,politics,politifact,
"Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered ""abortion-inducing drugs.",1.0,politics,politifact,
"For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.",0.0,politics,politifact,
"Says Bill Murray said, ""So if we lie to the government, it's a felony. But if they lie to us it's politics.",1.0,politics,politifact,
"Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings.",0.0,politics,politifact,
"The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.",1.0,politics,politifact,
"H&M advertised a sweatshirt that said, ""Koolest Kid in the Klan.",1.0,politics,politifact,
"The Congressional Budget Office ""has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.",1.0,politics,politifact,
Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.,0.0,politics,politifact,
"A lot of people are talking about"" the removal of a ""very fair prosecutor"" in Ukraine.",1.0,politics,politifact,
"Russian President Vladimir Putin ""was assassinated.",0.0,politics,politifact,
"Donald Trump's second impeachment ""cost $33 million.",1.0,politics,politifact,
Dr. Anthony Fauci said lockdowns are a method for coercing people to comply with COVID-19 vaccinations.,1.0,politics,politifact,
"The 'New York Times' writes this long story"" about Donald Trump's tax returns but ""didn't point out there was no wrongdoing"" until paragraph 18.",1.0,politics,politifact,
"Singer Miley Cyrus: 'Trump fans are destroying my career, I can't stand them and I decided to move to…'",1.0,politics,politifact,
A video shows wreckage of the recent plane crash in Nepal.,1.0,politics,politifact,
"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",1.0,politics,politifact,
"And 100 percent, John, of your ads . . . 100 percent of them have been negative.",0.0,politics,politifact,
"Says in regard to providing ""more tax cuts for the rich,"" Bill Pascrell said, ""Republicans had great ideas. I liked some of their ideas.",0.0,politics,politifact,
No one thought we could get a bipartisan bill (Medicaid) passed. We did in the Florida Senate.,1.0,politics,politifact,
"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",1.0,politics,politifact,
"For the first time in U.S. history, a one-year-old appears in court as a defendant.",1.0,politics,politifact,
The insurance industry is actually run by mostly Democrats.,1.0,politics,politifact,
Covid-19 is NOT killing people. Weak immune systems and bad doctors are.,1.0,politics,politifact,
Says a video shows Joe Biden lolling his tongue.,0.0,politics,politifact,
"Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say ""we don't need stronger gun laws.",0.0,politics,politifact,
"Says pre-cut onion used to cook the following day ""becomes highly poisonous for even a single night and creates toxic bacteria which may cause adverse stomach infections because of excess bile secretions and even food poisoning.",0.0,politics,politifact,
Chickens aren't laying eggs because RNA is being added to commercial chicken feed.,1.0,politics,politifact,
WHO now saying you do not need to wear a mask.,1.0,politics,politifact,
